[APP] [23.06.2026 | 22:51:49] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:38:46] User auth successfully
[APP] [2.07.2026 | 14:38:50] Ticket removed successfully
[APP] [2.07.2026 | 14:38:51] Ticket removed successfully
[APP] [2.07.2026 | 14:38:52] Ticket removed successfully
[APP] [2.07.2026 | 14:38:53] Ticket removed successfully
[APP] [2.07.2026 | 14:38:54] Ticket removed successfully
[APP] [2.07.2026 | 14:40:29] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:41:02] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:41:16] Error sending application
[APP] [2.07.2026 | 14:41:16] Error sending application count 
[APP] [2.07.2026 | 14:41:32] Error sending application
[APP] [2.07.2026 | 14:41:32] Error sending application count 
[APP] [2.07.2026 | 14:41:48] Error sending application
[APP] [2.07.2026 | 14:41:48] Error sending application count 
[APP] [2.07.2026 | 14:41:58] User auth successfully
[APP] [2.07.2026 | 14:42:53] Error sending application
[APP] [2.07.2026 | 14:50:13] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:50:27] Error sending application
[APP] [2.07.2026 | 14:50:27] One sent new application Problems accessing folder number 33
[APP] [2.07.2026 | 14:50:31] Notification read 
[APP] [2.07.2026 | 14:50:40] User auth successfully
[APP] [2.07.2026 | 14:50:56] Error sending application
[APP] [2.07.2026 | 14:50:56] Ne sent new application Problems with phone number 34
[APP] [2.07.2026 | 14:51:04] Ticket removed successfully
[APP] [2.07.2026 | 14:51:14] Notification read 
[APP] [2.07.2026 | 14:52:54] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:53:12] User auth successfully
[APP] [2.07.2026 | 14:53:15] Error sending application
[APP] [2.07.2026 | 14:53:15] One sent new application Peoblems with internet number 35
[APP] [2.07.2026 | 14:53:18] Notification read 
[APP] [2.07.2026 | 14:53:34] Error sending application
[APP] [2.07.2026 | 14:53:34] Error sending application count 
[APP] [2.07.2026 | 14:53:40] Ticket removed successfully
[APP] [2.07.2026 | 14:53:41] Ticket removed successfully
[APP] [2.07.2026 | 14:55:29] Connecting to database localhost:3306
[APP] [2.07.2026 | 14:55:38] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:02:43] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:03:07] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:03:13] User auth successfully
[APP] [2.07.2026 | 15:03:31] Error sending application
[APP] [2.07.2026 | 15:03:31] One sent new application Problems with phone number 36
[APP] [2.07.2026 | 15:03:34] Notification read 
[APP] [2.07.2026 | 15:06:42] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:06:55] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:07:00] Invalid username or passsword
[APP] [2.07.2026 | 15:07:04] User auth successfully
[APP] [2.07.2026 | 15:13:15] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:13:44] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:14:17] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:14:25] User auth successfully
[APP] [2.07.2026 | 15:15:09] Connecting to database localhost:3306
[APP] [2.07.2026 | 15:34:26] Connecting to database db:3306
[APP] [2.07.2026 | 15:34:29] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:31] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:33] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:35] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:37] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:39] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:41] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:34:52] Connecting to database locahost:3306
[APP] [2.07.2026 | 15:34:57] Error getting data SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:00] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:02] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:04] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:06] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:08] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:010] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:12] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:14] Error getting notifications SqlError: (conn:-1, no: 45028, SQLState: HY000) pool failed to retrieve a connection from pool
    (pool connections: active=0 idle=0 limit=10)
[APP] [2.07.2026 | 15:35:17] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:11:54] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:14:13] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:14:36] Error sending application
[APP] [2.07.2026 | 17:16:12] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:16:35] Error sending application
[APP] [2.07.2026 | 17:16:35] One sent new application Problems with phone number 37
[APP] [2.07.2026 | 17:16:53] Error sending application
[APP] [2.07.2026 | 17:16:53] Yes sent new application Other number 38
[APP] [2.07.2026 | 17:18:49] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:19:03] Error sending application
[APP] [2.07.2026 | 17:19:25] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:19:37] Error sending application
[APP] [2.07.2026 | 17:19:37] One sent new application Problems accessing folder number 39
[APP] [2.07.2026 | 17:19:51] Error sending application
[APP] [2.07.2026 | 17:19:51] Two sent new application Other number 40
[APP] [2.07.2026 | 17:19:54] Uploaded files received successfully
[APP] [2.07.2026 | 17:19:54] Notification read 
[APP] [2.07.2026 | 17:20:18] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:20:40] Error sending application
[APP] [2.07.2026 | 17:21:15] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:21:35] Error sending application
[APP] [2.07.2026 | 17:21:35] Files uploaded successfully
[APP] [2.07.2026 | 17:21:35] Five sent new application Other number 41
[APP] [2.07.2026 | 17:21:38] Uploaded files received successfully
[APP] [2.07.2026 | 17:21:38] Notification read 
[APP] [2.07.2026 | 17:25:17] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:25:43] Error sending application
[APP] [2.07.2026 | 17:25:43] Sixth sent new application Other number 42
[APP] [2.07.2026 | 17:28:16] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:28:35] Error sending application
[APP] [2.07.2026 | 17:28:53] Connecting to database localhost:3306
[APP] [2.07.2026 | 17:29:16] Error sending application
[APP] [2.07.2026 | 17:29:16] Eighth sent new application Other number 43
[APP] [2.07.2026 | 17:29:16] Files uploaded successfully
[APP] [2.07.2026 | 17:29:25] Uploaded files received successfully
[APP] [2.07.2026 | 17:29:25] Notification read 
[APP] [2.07.2026 | 17:29:38] User auth successfully
[APP] [2.07.2026 | 17:29:42] Ticket removed successfully
[APP] [2.07.2026 | 17:29:43] Ticket removed successfully
[APP] [2.07.2026 | 17:29:44] Ticket removed successfully
[APP] [2.07.2026 | 17:29:45] Ticket removed successfully
[APP] [2.07.2026 | 17:29:46] Ticket removed successfully
[APP] [2.07.2026 | 17:29:47] Ticket removed successfully
[APP] [2.07.2026 | 17:29:48] Ticket removed successfully
[APP] [2.07.2026 | 17:29:49] Ticket removed successfully
